date,rtn
2015/7/10,0.050478713
2015/7/17,0.020306154
2015/7/24,0.028291057
2015/7/31,-0.105385517
2015/8/7,0.021728625
2015/8/14,0.057381138
2015/8/21,-0.12261722
2015/8/28,-0.081763824
2015/9/2,-0.022584398
2015/9/11,0.012598964
2015/9/18,-0.032493824
2015/9/25,-0.001799665
2015/9/30,-0.01287724
2015/10/9,0.041818666
2015/10/16,0.063356769
2015/10/23,0.006197217
2015/10/30,-0.008792587
2015/11/6,0.059528054
2015/11/13,-0.002564153
2015/11/20,0.013773167
2015/11/27,-0.054974058
2015/12/4,0.025481983
2015/12/11,-0.025983141
2015/12/18,0.041178347
2015/12/25,0.013584454
2015/12/31,-0.0247622
2016/1/8,-0.105000108
2016/1/15,-0.093850424
2016/1/22,0.00536043
2016/1/29,-0.063323901
2016/2/5,0.009413473
2016/2/19,0.03433387
2016/2/26,-0.032989375
2016/3/4,0.037916342
2016/3/11,-0.022462205
2016/3/18,0.050255681
2016/3/25,0.008183939
2016/4/1,0.010050571
2016/4/8,-0.008198244
2016/4/15,0.03073237
2016/4/22,-0.039385568
2016/4/29,-0.007093128
2016/5/6,-0.008570741
2016/5/13,-0.030013975
2016/5/20,-0.000575311
2016/5/27,-0.001571585
2016/6/3,0.040853443
2016/6/8,-0.003928853
2016/6/17,-0.014471034
2016/6/24,-0.01073957
2016/7/1,0.027025393
2016/7/8,0.018788609
2016/7/15,0.021913398
2016/7/22,-0.013673935
2016/7/29,-0.011173726
2016/8/5,-0.000887503
2016/8/12,0.024546295
2016/8/19,0.018651995
2016/8/26,-0.012234042
2016/9/2,-0.000963559
2016/9/9,0.003743126
2016/9/14,-0.02499627
2016/9/23,0.010286097
2016/9/30,-0.009668874
2016/10/14,0.019480185
2016/10/21,0.008816662
2016/10/28,0.004303008
2016/11/4,0.006757135
2016/11/11,0.022378077
2016/11/18,-0.000997981
2016/11/25,0.021405683
2016/12/2,-0.005562759
2016/12/9,-0.003384429
2016/12/16,-0.034585994
2016/12/23,-0.004115943
2016/12/30,-0.002097625
2017/1/6,0.016198513
2017/1/13,-0.013262053
2017/1/20,0.003327348
2017/1/26,0.011469515
2017/2/3,-0.00603113
2017/2/10,0.017841776
2017/2/17,0.00168051
2017/2/24,0.01591143
2017/3/3,-0.010853718
2017/3/10,-0.001726524
2017/3/17,0.007654675
2017/3/24,0.009835189
2017/3/31,-0.014458414
2017/4/7,0.019696602
2017/4/14,-0.012414416
2017/4/21,-0.022718885
2017/4/28,-0.005844946
2017/5/5,-0.01649865
2017/5/12,-0.006311971
2017/5/19,0.002305649
2017/5/26,0.006266356
2017/6/2,-0.001453987
2017/6/9,0.016878084
2017/6/16,-0.011218402
2017/6/23,0.011051405
2017/6/30,0.010882712
2017/7/7,0.007965182
2017/7/14,0.001385044
2017/7/21,0.004818567
2017/7/28,0.004701342
2017/8/4,0.002713759
2017/8/11,-0.016548894
2017/8/18,0.018583376
2017/8/25,0.0190295
2017/9/1,0.010628315
2017/9/8,-0.000557546
2017/9/15,-0.003459935
2017/9/22,-0.000325015
2017/9/29,-0.001070302
2017/10/13,0.012339472
2017/10/20,-0.003508616
2017/10/27,0.011232411
2017/11/3,-0.013277922
2017/11/10,0.01790914
2017/11/17,-0.01460374
2017/11/24,-0.008635343
